req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-AUTH-001,AUTH,Register,POST /auth/register creates user with hashed password and default viewer role,201 with user object no password in response,test_api,TestRegister,Integration Test,MISSING,P0,1,Foundation: user creation,0.5,,REQ-AUTH-002|REQ-AUTH-003|REQ-RBAC-001,,,,,,
REQ-AUTH-002,AUTH,Login,POST /auth/login returns JWT token for valid credentials,200 with token field,test_api,TestLogin,Integration Test,MISSING,P0,1,Foundation: token issuance,0.5,REQ-AUTH-001,REQ-AUTH-003|REQ-BOOK-001,,,,,,
REQ-AUTH-003,AUTH,Profile,GET /auth/me returns authenticated user profile,200 with user object,test_api,TestProfile,Integration Test,MISSING,HIGH,2,Requires valid token,0.25,REQ-AUTH-001|REQ-AUTH-002,,,,,,,
REQ-AUTH-004,AUTH,Expiry,JWT tokens expire after 1 hour,401 after expiry,test_api,TestTokenExpiry,Unit Test,MISSING,HIGH,2,Security requirement,0.25,REQ-AUTH-002,,,,,,,
REQ-AUTH-005,AUTH,Rejection,Missing or invalid tokens return 401,401 on all protected endpoints,test_api,TestUnauthorized,Integration Test,MISSING,P0,1,Security foundation,0.25,REQ-AUTH-002,REQ-BOOK-001,,,,,,
REQ-BOOK-001,BOOKS,List,GET /books returns paginated list with default 20 per page max 100,200 with array and pagination metadata,test_api,TestListBooks,Integration Test,MISSING,HIGH,2,Requires auth middleware,0.5,REQ-AUTH-002|REQ-AUTH-005,REQ-BOOK-002,,,,,,
REQ-BOOK-002,BOOKS,CRUD,GET POST PUT DELETE /books with proper status codes,201 on create 200 on read/update 204 on delete,test_api,TestBookCRUD,Integration Test,MISSING,HIGH,2,Core data operations,1,REQ-BOOK-001,REQ-BOOK-003|REQ-RBAC-002,,,,,,
REQ-BOOK-003,BOOKS,Validation,ISBN must be unique and valid 10 or 13 digits with 422 on invalid,422 with field-level error messages,test_api,TestBookValidation,Unit Test,MISSING,HIGH,3,Data integrity,0.5,REQ-BOOK-002,,,,,,,
REQ-RBAC-001,RBAC,Roles,Users have roles: admin staff viewer,Role persisted and returned in profile,test_api,TestUserRoles,Unit Test,MISSING,P0,1,Foundation for access control,0.25,REQ-AUTH-001,REQ-RBAC-002|REQ-RBAC-003,,,,,,
REQ-RBAC-002,RBAC,BookAccess,Create/update books requires admin or staff and delete requires admin only,403 for insufficient role,test_api,TestBookRBAC,Integration Test,MISSING,HIGH,3,Cross-cutting: auth x books,0.5,REQ-RBAC-001|REQ-BOOK-002,,,,,,,
REQ-RBAC-003,RBAC,Admin,GET /users and PUT /users/:id/role require admin role,403 for non-admin users,test_api,TestAdminEndpoints,Integration Test,MISSING,HIGH,3,Admin-only management,0.5,REQ-RBAC-001|REQ-AUTH-003,,,,,,,
REQ-API-001,API,Health,GET /health returns 200 without authentication,200 with status ok,test_api,TestHealthCheck,Unit Test,MISSING,MEDIUM,1,Monitoring endpoint,0.1,,,,,,,,
REQ-API-002,API,NotFound,Missing resources return 404,404 on GET/PUT/DELETE nonexistent ID,test_api,TestNotFound,Integration Test,MISSING,HIGH,2,Error handling,0.25,REQ-BOOK-002,,,,,,,
