req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DB-001,DB,Schema,Database setup with SQLite and schema for all entities,All tables created with proper types constraints and indexes,,test_database_setup,Integration Test,MISSING,P0,1,Foundation: all entities depend on database,0.5,,REQ-AUTH-001|REQ-VALID-001,,,,,requirements/DB/REQ-DB-001.md,
REQ-AUTH-001,AUTH,Registration,User registration with password hashing,POST /auth/register creates user with hashed password,,test_user_registration,Integration Test,MISSING,P0,1,Authentication required for all operations,0.5,REQ-DB-001,REQ-AUTH-002,,,,,requirements/AUTH/REQ-AUTH-001.md,
REQ-AUTH-002,AUTH,JWT,JWT login and authentication middleware,POST /auth/login returns JWT; middleware validates tokens,,test_jwt_auth,Integration Test,MISSING,P0,1,All endpoints depend on auth middleware,0.5,REQ-AUTH-001,REQ-AUTH-003|REQ-TENANT-001,,,,,requirements/AUTH/REQ-AUTH-002.md,
REQ-AUTH-003,AUTH,Profile,User profile view and update,GET/PUT /auth/me returns and updates user profile,,test_user_profile,Integration Test,MISSING,HIGH,2,User self-service account management,0.3,REQ-AUTH-002,,,,,,requirements/AUTH/REQ-AUTH-003.md,
REQ-TENANT-001,TENANT,Create,Organization creation with owner assignment,POST /orgs creates org and assigns creator as owner,,test_org_creation,Integration Test,MISSING,P0,2,Organizations are the top-level tenant boundary,0.5,REQ-AUTH-002,REQ-TENANT-002|REQ-RBAC-001,,,,,requirements/TENANT/REQ-TENANT-001.md,
REQ-TENANT-002,TENANT,CRUD,Organization CRUD with tenant isolation,GET/PUT/DELETE orgs scoped to membership,,test_org_crud,Integration Test,MISSING,P0,2,Tenant isolation must be enforced on every query,0.5,REQ-TENANT-001,REQ-TENANT-003,,,,,requirements/TENANT/REQ-TENANT-002.md,
REQ-TENANT-003,TENANT,Isolation,Tenant isolation enforcement on all queries,Every database query scopes to current org_id,,test_tenant_isolation,Integration Test,MISSING,P0,2,Cross-tenant data leakage is a critical security failure,0.5,REQ-TENANT-002,REQ-RBAC-002,,,,,requirements/TENANT/REQ-TENANT-003.md,
REQ-RBAC-001,RBAC,Roles,Role assignment for organization members,Owner admin member viewer roles with permission matrix,,test_role_assignment,Integration Test,MISSING,P0,3,RBAC controls access to all org resources,0.5,REQ-TENANT-001,REQ-RBAC-002,,,,,requirements/RBAC/REQ-RBAC-001.md,
REQ-RBAC-002,RBAC,Enforcement,Role-based access control middleware,Enforce permission matrix on every org endpoint,,test_rbac_enforcement,Integration Test,MISSING,P0,3,Every org endpoint must check role permissions,0.5,REQ-RBAC-001|REQ-TENANT-003,REQ-RBAC-003|REQ-PROJ-001|REQ-AUDIT-001,,,,,requirements/RBAC/REQ-RBAC-002.md,
REQ-RBAC-003,RBAC,Members,Member management and invitation flow,Invite by email accept invitation change role remove member,,test_member_management,Integration Test,MISSING,P0,3,Onboarding and offboarding org members,0.5,REQ-RBAC-002,REQ-NOTIF-001,,,,,requirements/RBAC/REQ-RBAC-003.md,
