req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DB-001,DB,Schema,Database setup with SQLite and schema migrations,Tables created with proper types and constraints,,test_database_setup,Integration Test,MISSING,P0,1,Foundation: all entities depend on database,0.5,,REQ-AUTH-001|REQ-VALID-001,,,,,requirements/DB/REQ-DB-001.md,
REQ-AUTH-001,AUTH,Registration,User registration with password hashing and roles,POST /auth/register creates user with hashed password,,test_user_registration,Integration Test,MISSING,P0,1,Authentication is required for all protected endpoints,0.5,REQ-DB-001,REQ-AUTH-002|REQ-NOTIF-001,,,,,requirements/AUTH/REQ-AUTH-001.md,
REQ-AUTH-002,AUTH,JWT,JWT login and authentication middleware,POST /auth/login returns JWT; middleware validates on protected routes,,test_jwt_auth,Integration Test,MISSING,P0,1,All CRUD endpoints depend on auth middleware,0.5,REQ-AUTH-001,REQ-AUTH-003|REQ-PROD-001|REQ-AUDIT-001,,,,,requirements/AUTH/REQ-AUTH-002.md,
REQ-AUTH-003,AUTH,Profile,User profile view and update,GET/PUT /auth/profile returns and updates user profile,,test_user_profile,Integration Test,MISSING,HIGH,2,User self-service account management,0.3,REQ-AUTH-002,,,,,,requirements/AUTH/REQ-AUTH-003.md,
REQ-PROD-001,PROD,CRUD,Product CRUD with admin-only write access,Create/read/update/soft-delete products with role enforcement,,test_product_crud,Integration Test,MISSING,P0,2,Products are the core catalog entity,0.5,REQ-AUTH-002,REQ-PROD-002|REQ-INV-001|REQ-PROD-003,,,,,requirements/PROD/REQ-PROD-001.md,
REQ-PROD-002,PROD,Categories,Product categories with nested tree structure,Create/list categories with parent-child relationships,,test_categories,Integration Test,MISSING,HIGH,2,Categories organize the product catalog,0.5,REQ-PROD-001,REQ-PROD-003,,,,,requirements/PROD/REQ-PROD-002.md,
REQ-PROD-003,PROD,Search,Product search and filtering,GET /products supports search text and category and price filters,,test_product_search,Integration Test,MISSING,HIGH,3,Discovery mechanism for customers,0.5,REQ-PROD-001|REQ-PROD-002,,,,,,requirements/PROD/REQ-PROD-003.md,
REQ-INV-001,INV,Stock,Inventory tracking with stock levels and low-stock alerts,Track quantity and reserved_quantity per product,,test_inventory,Integration Test,MISSING,P0,2,Inventory is required for cart validation and order placement,0.5,REQ-PROD-001,REQ-CART-001,,,,,requirements/INV/REQ-INV-001.md,
REQ-CART-001,CART,CRUD,Shopping cart CRUD operations,Add/update/remove/clear cart items with stock validation,,test_cart_crud,Integration Test,MISSING,P0,3,Cart is the bridge between browsing and purchasing,0.5,REQ-AUTH-002|REQ-PROD-001|REQ-INV-001,REQ-CART-002|REQ-ORD-001|REQ-DISC-001,,,,,requirements/CART/REQ-CART-001.md,
REQ-CART-002,CART,Validation,Cart item validation against available inventory,Quantities must not exceed available stock,,test_cart_validation,Integration Test,MISSING,HIGH,3,Prevents overselling,0.3,REQ-CART-001,,,,,,requirements/CART/REQ-CART-002.md,
REQ-DISC-001,DISC,Codes,Discount code creation and application,Admin creates codes; customers apply to cart,,test_discount_codes,Integration Test,MISSING,HIGH,3,Revenue management and promotions,0.5,REQ-PROD-001|REQ-CART-001,,,,,,requirements/DISC/REQ-DISC-001.md,
REQ-ORD-001,ORD,Placement,Order placement from cart with inventory reservation,POST /orders atomically converts cart to order and reserves stock,,test_order_placement,Integration Test,MISSING,P0,4,Orders are the core transaction entity,0.5,REQ-CART-001,REQ-ORD-002|REQ-PAY-001|REQ-SHIP-001,,,,,requirements/ORD/REQ-ORD-001.md,
