req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DB-001,DB,Schema,Database setup with SQLite for persistent gateway state,Tables created with proper types and constraints,,test_database_setup,Integration Test,MISSING,P0,1,Foundation: services routes keys and audit log tables,0.5,,REQ-REG-001|REQ-VALID-001,,,,,requirements/DB/REQ-DB-001.md,
REQ-REG-001,REG,CRUD,Service registry for backend service management,Admin CRUD for registering backend services,,test_service_registry,Integration Test,MISSING,P0,1,Services must be registered before routes can target them,0.5,REQ-DB-001,REQ-ROUTE-001|REQ-HEALTH-001,,,,,requirements/REG/REQ-REG-001.md,
REQ-ROUTE-001,ROUTE,CRUD,Route management with path pattern matching,Admin CRUD for route definitions mapping paths to services,,test_route_management,Integration Test,MISSING,P0,2,Routes define the gateway proxy behavior,0.5,REQ-REG-001,REQ-ROUTE-002|REQ-AUTH-001,,,,,requirements/ROUTE/REQ-ROUTE-001.md,
REQ-ROUTE-002,ROUTE,Matching,Path pattern matching and method filtering,Most specific pattern wins with wildcard support,,test_route_matching,Integration Test,MISSING,P0,2,Request routing logic for the proxy,0.5,REQ-ROUTE-001,REQ-TRANSFORM-001,,,,,requirements/ROUTE/REQ-ROUTE-002.md,
REQ-AUTH-001,AUTH,Keys,API key management with role-based access,Admin creates keys with admin or service role,,test_api_key_management,Integration Test,MISSING,P0,2,Authentication is the first middleware in the chain,0.5,REQ-ROUTE-001,REQ-AUTH-002,,,,,requirements/AUTH/REQ-AUTH-001.md,
REQ-AUTH-002,AUTH,Middleware,API key authentication middleware,Validate X-API-Key header and enforce role-based access,,test_auth_middleware,Integration Test,MISSING,P0,2,All proxy requests and admin API require authentication,0.5,REQ-AUTH-001,REQ-RATE-001|REQ-LOG-001|REQ-AUDIT-001,,,,,requirements/AUTH/REQ-AUTH-002.md,
REQ-RATE-001,RATE,Limiting,Rate limiting with sliding window algorithm,Per-key rate limiting with configurable limits and override,,test_rate_limiting,Integration Test,MISSING,P0,3,Protects backends from overload,0.5,REQ-AUTH-002,REQ-RATE-002,,,,,requirements/RATE/REQ-RATE-001.md,
REQ-RATE-002,RATE,Headers,Rate limit response headers,Include X-RateLimit-Remaining and X-RateLimit-Reset in responses,,test_rate_headers,Integration Test,MISSING,HIGH,3,Client visibility into rate limit state,0.3,REQ-RATE-001,REQ-TRANSFORM-001,,,,,requirements/RATE/REQ-RATE-002.md,
REQ-TRANSFORM-001,TRANSFORM,Request,Request transformation before proxying,Strip prefix and add correlation and forwarding headers,,test_request_transform,Integration Test,MISSING,P0,4,Prepares requests for backend services,0.5,REQ-ROUTE-002|REQ-RATE-002,REQ-TRANSFORM-002,,,,,requirements/TRANSFORM/REQ-TRANSFORM-001.md,
REQ-TRANSFORM-002,TRANSFORM,Response,Response transformation after proxying,Add gateway headers and X-Cache header to responses,,test_response_transform,Integration Test,MISSING,HIGH,4,Post-processing of backend responses,0.3,REQ-TRANSFORM-001,REQ-CACHE-001,,,,,requirements/TRANSFORM/REQ-TRANSFORM-002.md,
