req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-CLI-001,CLI,Add,Add command accepts URL or text with auto-detection and optional flags,Item stored with correct type and metadata,test_cli,TestAdd,Integration Test,MISSING,P0,1,Core: data ingestion,0.5,,REQ-CLI-002|REQ-CLI-003|REQ-CLI-005|REQ-TAG-001,,,,,,
REQ-CLI-002,CLI,List,List command shows items with filtering by type and tag,Correct items displayed in requested format,test_cli,TestList,Integration Test,MISSING,P0,2,Core: data retrieval,0.5,REQ-CLI-001,REQ-FMT-001,,,,,,
REQ-CLI-003,CLI,Show,Show command displays full details of a single item by ID,All fields displayed for valid ID and 404 for invalid,test_cli,TestShow,Integration Test,MISSING,HIGH,2,Core: single item view,0.25,REQ-CLI-001,,,,,,,
REQ-CLI-004,CLI,Edit,Edit command updates title tags or description by ID,Updated fields persisted,test_cli,TestEdit,Integration Test,MISSING,HIGH,2,Core: mutation,0.5,REQ-CLI-001,,,,,,,
REQ-CLI-005,CLI,Delete,Delete command removes item and requires --confirm flag,Item removed only with explicit confirmation,test_cli,TestDelete,Integration Test,MISSING,HIGH,2,Core: deletion with safety,0.5,REQ-CLI-001,,,,,,,
REQ-CLI-006,CLI,Search,Search command performs case-insensitive partial match across title description and content,Matching items returned,test_cli,TestSearch,Integration Test,MISSING,HIGH,3,Requires indexed content,0.5,REQ-CLI-001,,,,,,,
REQ-TAG-001,TAGS,List,Tag list command shows all tags with item counts,Tag name and count for each,test_cli,TestTagList,Integration Test,MISSING,HIGH,2,Organization feature,0.25,REQ-CLI-001,REQ-TAG-002,,,,,,
REQ-TAG-002,TAGS,Rename,Tag rename command updates tag across all items,Old tag replaced globally,test_cli,TestTagRename,Integration Test,MISSING,MEDIUM,3,Bulk mutation,0.5,REQ-TAG-001,,,,,,,
REQ-FMT-001,FORMAT,Output,List and export support table json and csv output formats,Valid output in each format,test_cli,TestOutputFormats,Unit Test,MISSING,HIGH,2,Cross-cutting: all list commands,0.5,REQ-CLI-002,REQ-IO-001,,,,,,
REQ-IO-001,IO,Export,Export command writes all items in json or csv format,Valid file output,test_cli,TestExport,Integration Test,MISSING,HIGH,3,Data portability,0.5,REQ-FMT-001,REQ-IO-002,,,,,,
REQ-IO-002,IO,Import,Import command reads items from json or csv file,Items added to library,test_cli,TestImport,Integration Test,MISSING,HIGH,3,Data portability,0.5,REQ-IO-001,,,,,,,
REQ-CFG-001,CONFIG,File,Config file created with defaults on first run at XDG location,Config file exists with default values,test_cli,TestConfigInit,Unit Test,MISSING,HIGH,1,Foundation: configuration,0.25,,REQ-CFG-002,,,,,,
REQ-CFG-002,CONFIG,Set,Config set and show commands manage configuration values,Values persisted and displayed,test_cli,TestConfigSetShow,Integration Test,MISSING,MEDIUM,2,User preferences,0.25,REQ-CFG-001,,,,,,,
REQ-ERR-001,CLI,ExitCodes,Exit code 0 on success 1 on error 2 on invalid usage,Correct exit codes,test_cli,TestExitCodes,Unit Test,MISSING,HIGH,1,CLI contract,0.25,,,,,,,,
